"replicate","time","NO2","transfer"
"NV11",37,1088.5188,9
"NV12",37,891.418,9
"NV1",51.5,1247.0564,9
"NV2",51.5,1195.6388,9
"NV3",51.5,1114.2276,9
"NV4",51.5,1178.4996,9
"NV5",51.5,1169.93,9
"NV6",51.5,1264.1956,9
"NV7",51.5,1414.1636,9
"NV8",51.5,1341.322,9
"NV9",51.5,1229.9172,9
"NV10",51.5,1375.6004,9
"NV11",51.5,1649.8276,9
"NV12",51.5,1542.7076,9
"NV1",0,1,10
"NV2",0,1,10
"NV3",0,1,10
"NV4",0,1,10
"NV5",0,1,10
"NV6",0,1,10
"NV7",0,1,10
"NV8",0,1,10
"NV9",0,1,10
"NV10",0,1,10
"NV11",0,1,10
"NV12",0,1,10
"NV1",23.5,675.3034,10
"NV2",23.5,612.415,10
"NV3",23.5,605.4274,10
"NV4",23.5,600.769,10
"NV5",23.5,565.831,10
"NV6",23.5,521.5762,10
"NV7",23.5,556.5142,10
"NV8",23.5,561.1726,10
"NV9",23.5,596.1106,10
"NV10",23.5,607.7566,10
"NV11",23.5,486.6382,10
"NV12",23.5,537.8806,10
"NV1",33,976.2835,10
"NV2",33,884.5906,10
"NV3",33,875.1862,10
"NV4",33,903.3994,10
"NV5",33,832.8664,10
"NV6",33,790.5466,10
"NV7",33,799.951,10
"NV8",33,839.9197,10
"NV9",33,849.3241,10
"NV10",33,938.6659,10
"NV11",33,764.6845,10
"NV12",33,823.462,10
"NV1",46.5,1552.88,10
"NV2",46.5,1355.3876,10
"NV3",46.5,1355.3876,10
"NV4",46.5,1397.7074,10
"NV5",46.5,1369.4942,10
"NV6",46.5,1275.4502,10
"NV7",46.5,1322.4722,10
"NV8",46.5,1355.3876,10
"NV9",46.5,1322.4722,10
"NV10",46.5,1501.1558,10
"NV11",46.5,1247.237,10
"NV12",46.5,1331.8766,10
"NV1",52.5,1620.1794,10
"NV2",52.5,1550.8002,10
"NV3",52.5,1490.0934,10
"NV4",52.5,1563.8088,10
"NV5",52.5,1503.102,10
"NV6",52.5,1468.4124,10
